id,title,text,username,language,rating,ratingtext
113,Purchased ticket but still was not allowed to fly,I purchased a ticket from a travel agent went to the airport but was told that I could not check in because I purchased the ticket at a cheaper price and PIA wanted 250 more before I would be allowed to board I spoke to PIA on the phone and was told that someone was willing to pay the full amount that they wanted for my seat and if I didnt match the price I would not be allowed to board in the end I purchased another ticket this time with Emirates and flew out a few days later  I will never be using PIA again,rizwan a,en,4,Good
114,Woosh ,Overall This Was A Decent Flight I Went In July 2015 And I Didnt Really Like The Food But Im Sure Some People Would Like It As Of Now April 2019 McDonalds Food Is Being Severed As A Dish From Toronto Ontario To Karachi Pakistan It Would Take At Least 17 Hours,mahiali,en,3,Average
115,Great service and experience,I flew with my daughters from Manchester  for a trip to Lahore I experienced an excellent service with very polite and very attentive staffThe flight was excellent there and back The food was delicious and drinks were served on demandThe only thing I would change is the uncomfortable seats so I rolled a shawl to cushion my lower back and that PIA needs new in flight entertainmentnothing worked but luckily we had our phones and tablets,Tasneem R,en,4,Good
116,Good service and no competitor ,There are no other options available We have to fly with PIA weather you like it The food quality is very bad  The air hostesses are not that smart they are rude and useless ,sametahir,en,5,Very Good
117,Lahore to karachi whoe trip,Flight was on time There was comfortable seats  in the aircraft 777 LCD on the seat was not working Meal was average Only option was rice chicken The bathroom was just functional There was bad smell from the bathroom I reached timely on my both destinations I think it is still a preferred flight than other local flights staff was good and curtious,sgaundal,en,4,Good
118,Flight from Toronto to Lahore Pakistan nonstop,The boarding on the flight was on time There was ample leg room in the seat in the aircraft 777 It is an older plane The TVs at the seat do not work all over the plane So take your own electric devices and earphones Dinner snack and breakfast was OK The bun was stale A little too much salt in the omelette They offered chicken but when we asked we got mutton I took a sleeping pill had my earplugs and eye covers and slept for around 6 hours The bathroom was just functional not much fancy In the last 23 hours there was bad smell from the bathroom Anyway we reached 1 hour early at Lahore It is very convenient to be a direct flight and saves time and effort So it is still a preferred flight,Aizad A,en,3,Average
119,PIA the worst Airline,Worst Airline Service Terribly bad It was delayed for 13 hours from Dubai to Islamabad Then another terrible thing happened to me two times I went to Chitral 6 months back and a week ago my luggage was not carried with me Upon asking the PIA personal stated they can either offload the passenger or their luggage They are very stupid I would never recommend PIA,Noshad A,en,1,Very Bad
120,Pia airline,I hate pia they are such idiots and our flight got delayed for 24 hours and they do nothing It has been 4 months since we came back and we have emailed them and they still havent replied back I highly recommend never to use pia EVER If you have used pia  I feel your pain and if you havent please do not use it And last thing their flippin TVs do not work and if you have children what are they supposed to do Ps due to their bad costumer service and rude flight attendants we have made the decision to never use pia ever again,SarahG76282,en,1,Very Bad
121,Worst customer service ever do not use at any cost,The customer service is none existenceafter taking your money they do not want to know  Awful customer service experience unwilling to help No consideration for elderly people no respect People only use them due to direct flights Rubbish airline,Nomad726335,en,1,Very Bad
122,Absolutely rubbish airline,We are family of six and supposed to be flying on 060419 at 2045 from Oslo to Islamabad via PK772 But theyve cancelled the flight and put us in a really bad situation and worst thing is we have been told to collect the all luggage also which  was nightmare and sent us in to a hotel  About 250 people are effected badly and today is 07th April 19 and still no sign of flight yet I would never choose PIA again at any price If you are flying to Pakistan Please please dont choose pia otherwise theyll put you in a very bad situation Book any other flights apart from pia because other airlines are responsible and have customer care manners Prime minister Imran Khan should privatise or hand over pia to some neutral company,Andy K,en,1,Very Bad
123,PIA EXPERIENCE,Based on my recent travels to Pakistan and back to Canada this by far was the worst experience I have ever had No pillows no blanket the food was so terrible and very very uncooperative staff I would advise no one to experience what I have gone through And to travel with another airline other than PIA,Hamza T,en,1,Very Bad
124,PIA Flight Doha to Islamabad,I travelled from Doha Qatar to Islamabad Pakistan at the beginning of March 2019 The flight was fully booked as the airports in Pakistan recently opened after the shut down due to the escalated tensions with India I was surprised to by upgraded to business class since many economy passengers where at the airport hoping to get a seat on chance The travel time was around 2 hours and I really enjoyed the experience The meet and greet by the crew was warm and friendly The leg space and seat comfort was acceptable for the type of aircraft The food menu had mainly local traditional cuisine which was tasty I was interested to experience the new International Airport at Islamabad and found it upto par with international standards I liked the decorations of traditional truck art that are displayed on the walls at the luggage claimI would suggest adding extra toilets for passengers at the luggage claim as there is always a waiting line,OrientalCarpets,en,3,Average
125,PIA realllllyyyy needs to change its menu,It is a big relief whenever a PIA flight is on time There was a lot of turbulence due to bad weather but thats not anybodys fault Their staff is usually courteous The seats of the air bus are highly uncomfortable and the FOOD THE FOOD delivered during flights needdddss a change now It is the same old menu for ages now I dont want it to be lavish but they can at least experiment with some variety,atauqir,en,3,Average
126,Bad experience,I have flown with Pia many times I have yet to experience good service from them The crew have no interest whatsoever in giving that giving a personal touch to them its just a job The plane was ok but the crew let them down The food is just basic with a never changing menuwhen I asked for a second coffee as I dont drink tea they said they had run out of coffee Overall they arent interested in their passengers no service with a smile,Mallah B,en,2,Bad
127,Terrible experience every time,The only reason why people travel with PIA is because it is direct However I would rather have a connecting flight if it means that I dont get mouldy food crying babies and the most awful customer service,Hafsah M,en,1,Very Bad
128,5 Star reviewers working for PIA,They use their monopoly of the direct flight to PK to secure bookings Nobody in their right mind would use PIA if it wasnt the fact of direct flightsDisgusting attitude for flight attendants obviously no training was given around customer service I cannot believe how disrespectful their staff are NO inflight entertainment which is ridiculous for the most expensive flight carrier to PK Their prices are way over the top with service received compared to some premium carriers ie Emirates Etihad Turkish Flown Etihad last couple of times and I must say WOW The service and quality made up for the stopover I would certainly like to help my fellow countryman but you guys need to start treating people a little nicer Maybe just act like human beings Come on PIA I think a revamp of your staff is in order Also you need a Tech team to sort out your inflight entertainmentIf you cant manage that then please start having other carriers flying,Shezzy111,en,1,Very Bad
129,Poor checkin this time average food,It is becoming a dream now to travel with PIA without facing an issue Just two days back I had a very good experience during check in and I explicitly mentioned it in my review This time it was the other way Two of us had three baggage a duffel bag weighing 16 kg a medium size suite case weighing 12 kg and a carton weighing 4 kgs I was carrying a hand carry weighing around 5 kg and my friend was carrying nothing in hand We were told that though our total weight for 2 tickets 32 kg is well within our permissible limit of 40 kg we can only book two items in the baggage We told the person on the counter that the third item is a small carton weighing 4 kg only and that our total weight is well within our authorized limits But the guy kept saying that he can only allow us two bags no matter what the weight And then he came up with a startling solution that my friend who wasnt carrying anything sould carry the medium sized suite case 12 kg as hand carry We tried to tell him that this suite case is well over the permitted weight for hand carry 7 kg and also it is a bit oversized too and may not fit in any of the compartments but he refused to accept our logic and kept insisting that he has to follow rules We finally gave up against his logic and my friend had to carry an oversized over weight case as hand carry The cabin crew rightly so objected to the size and had to make extra efforts to fit it in one of the compartments Withoug being clear on the rules themselves PIA staff nowadays is getting unnecessarily strict on implementing the rules that too their own way We found absolutely no logic in allowing a 12 kg oversized hand carry and permitting two item in the booked baggaged weighing 16 kg and 4 kg respectively when the weight authorization was 40 kg on the pretext that two of us are allowed to book two items only This is poor professionalism  The leg space in this aircraft was very good and we faced no problem on that count There was no arrangement for inflight entertainment The flight time was 1 am the lunch time but we werent provided lunch rather were served with light snacks In the same amount or less other airlines in Pakisan do provide lunch or dinner during domestic flights PIA needs to look into this aspect,flyfisher66,en,3,Average
130,Very average food  beverages,I had terrible experiences during checkin on my last four flights with PIA but this time it was a pleasant surprise I requested for a change of seat and the gentlem said that though none is available but if I wait for 15 minutes he might have a seat I sat in the lounge and in 15 minutes the guy came himself with a new boarding pass having a seat of my choice This was high professionalism and very good customer care Few other passengers also mentioned an improvement in customer service which is heartening  During the flight there was no in flight entertainment As for the food  beverages served the standard was quite mediocre and most of the items served were cheap and ordinary I really feel that PIA charges enough during domestic flights to serve its customers with a decent meals  cup of tea,flyfisher66,en,3,Average
131,Excellent service,Really very good serviceexcellent staff flight conditions is very good I like to travel again with Pakistan airlines thanks PiA,rahatali266,en,5,Very Good
132,The worst airline on planet,I lived with PIA terrible service since I started flying around 20 years ago But put up with this terrible airline just because it was the only direct flight to Lahore from London But now it has come to the lowest possible standard that I had to write this review You could clearly see the corruption has eaten this once great airline from the core The flight crew and check in staff you can see corruption and nepotism written all over their faces Customer services is nonexistence those who have travelled in local buses with service crew can rest assured that those people are much more well mannered and behaved than these illiterate people Aircraft seems never cleaned and that dirtiness reflects on the staff faces as well They charge you premium fare for being a direct flight and provide you with the filthiest service possibleThere is no entertainment system in flight,ahsanjalil,en,1,Very Bad
133,pia the best,friendly staff hope its improves better  pakistan airline is the best its way better than indian airlways,Shawn M,en,5,Very Good
134,Negative Ghost Rider  Do not engage,This is next to China air  Dont do it  Take Shaeen at a min I remember when PIA started and helped build Emirates into what it is today  Unfortunately PIA got the short end of that stuck and isnt much different from China Air  It is a safety issue at a min ,jandrevasilovski,en,1,Very Bad
135,Pakistan international air Line ,Its executive economy is good Seats are ok batter the Oman ecothis time staff is good and food is also good   Big benefit is direct from Lahore to London 820min  Most of the time it is  delayed  Do get fast track card from Pakistan  The dont give it in plan ,NadeemBJS,en,3,Average
136,Good service but planes need an upgrade which is happening soon I think,I flew with PIA after a decade and was expecting a rubbish experience as the only reason I decided to fly with them was the direct flight British airways starting soon as well btw I was actually pleasantly surprised The staff were really friendly and helpful the food was good as good the plane food can beThe flight was on time and we arrived 10mins before the scheduled time All the tv screens were turned off which I guess is because most of them were faulty so to stop people asking them to fix theirs  they just turned them off I think but most people had their own phones and tablets to use but in the future they definitely need to sort it out which I think they will as theyre buying new planes Ive heardOverall not a bad experience for me especially when I was expecting the worst service possible but I think theyre trying to make an effort lets see,KamranW4,en,4,Good
137,GOOD,Its just good but not excellent service compare to other Airlines Food given by Airline is just okay,ADNAN2797,en,3,Average
138,Economy plus seats for the win,We flew Economy Plus to Madinah and it was my first international PIA flight in over 2 decades I was blown away by the kindness of the staff Their helpful and friendly attitude smooth take offlanding and overall value for money Yes the plane did feel a bit worn out but everything worked fine Moreover the economy plus seats were those of the business class section and were able to recline to almost a full 180 This was not the case for our Jeddah to Islamabad flight where the economy plus seats simply offered more leg space and comfortable seats as is the nnorm There was no inflight entertainment so if youre traveling with children or on a long haul flight thats something to plan for in advance I did not have the food but those I travelled with said it was piping hot and pretty decent so Ill take that as a plus Other options to fly to Madinah included layovers in the UAE so this direct flight was perfect for our needs Look forward to flying with them again,SarahKTravels,en,4,Good
139,Boring,Staff n flight greatHowever put my books in luggage only to find I was on an 8 hours flight with no inflight movies Can u imagine just sat that long with nothing to read except or see except inflight magazine or emergency information card or the outside of the sick bag,Terry I,en,3,Average
140,Terrible,Worst terrible ever flight staff was good pilat and time of flight was perfect no complaint about them but no facilties worse food ever children were bored it was horrible time smelly seats and no cleaning everythg else was disgusting Nothg else to say,maheen i,en,1,Very Bad
141,Deduct payment butt e ticket not issued,Pia new online webtickting system is very rubish because i apply for ticket on pia website and system deduct amount from my account butt till now 3 days not ticket not refund and call centere said just wait we are checking Very very poor system,Maxi2322,en,1,Very Bad
142,Pretty good,Living in Pakistan Ive been travelling with PIA a lot Its really good Sometimes you may face some problems but thats not very often I recommend it,lahorelover,en,4,Good
143,Poor facilities and food,No in flight entertainment informed that they have been out of service for over 3 years and they wont provide any earphones if your did by chance  Endured very bored kids making it a noisy flight Food cheap and chearful and bland Breakfast probably cost them 2 Paid over 600 for the flight Seats and planes outdatedOnly fly using them if you have too,Shafina A,en,1,Very Bad
144,Ticket cancelled without informing the customer,PIA cancelled my ticket without informing me and I was only told on the day of my departure I was then asked to purchase another ticket to not to miss the plane and was informed that the airline will reimburse the money I trusted the staff and the airline and purchased another ticket at the airport on 28th of December 2018 Today is 1st of February and PIA is holding my two payments for one flight to Islamabad In total it cost me GBP 53821  116251  GBP 170072 for economy class ticket with PIA The customer service is extremely bad and no action has been taken so far which means some of my business also got affected,Hur H,en,1,Very Bad
145,Economical flight for Dubai,Low fare flights for dubai Flight delayed by 2 hours Flight Information cell informed me about the delay of flight when i was standing in q at airport for boarding,AsifAli,en,4,Good
146,Average at best with nothing special or spectacular to offer,From BHX to ISB everything was fine BHX airport has numerous shops and restaurants and there were no delays with boarding The food they served was lacklustre bland chicken and rice and burgersandwich Drinks option was fine Worst thing was having NO INFLIGHT ENTERTAINMENT The PIA website boasts of having IFE but all we had a was a very old and small screen at the back of the seat that only displayed flight information 6 years ago we had the option to watch videosmovies but that for some reason is gone I do not know who would like to view the flights speed or altitude after a while it gets incredibly repetitive and frustrating In fact the pilot even said We have IFE for your entertainment  I do not know how on earth flight information is entertainingISB to BHX wasnt as good The new airport is indeed very big and modern but there arent that many shops there and only two food places that serve sandwiches and teacoffee Army members are littered across the airport which is quite scary and unwelcoming During security  they do nothing but stand there and watch you try to put your luggage onto the conveyer belt then they tell you to push it into the xray machine yourself while standing there smugly No smiles no manners nothing Then they charge some sort of service tax and also charge us to print photocopies of our passport luckily I had some money with meBoarding gates opened at 1105 flight departure was at 1150 Unfortunately we were still waiting in the boarding area at 1200 and then the announcement came saying delays until 1300 Luckily backseat people could go early and we entered the plane which was sweltering Eventually the plane went off after a delay of 1 hour Again lacklustre food no IFE sandwiches they served were hard legroom was decent but not the best for taller peopleToilets were blocked often as wellIf you fly by PIA DO NOT expect luxury if you are going by economy Expect delays bad food passive aggressive flight attendants and no entertainment THE ONLY good thing about PIA is that it goes DIRECT to Pakistan otherwise anybody foreign would never use it Next time go by Emirates which has one layover but much much better services,99sobi,en,3,Average
147,The most unorganized and risky airline,I flew to Pakistan with family young children obviously you would expect in flight entertainment nice food and airline facilities that work like the light the toilets the aircon the call button the only thing that works on PIA is the gas pedal and the brake pedal the rest of the things DO NOT WORK my daughter was so bored she luckily took her own entertainment to keep her occupied unlike some parents didnt I am surprised an airline like this is actually taking passengers back and forth without anything working they should be banned from flying never again would I ever fly with PIA never would I recommend the flight to anyone if anyone does want to fly its under there own risk good luck the screen shows only 2km traveled even after 6 hours ,minsagirl,en,1,Very Bad
148,Pathetic service,Firstly the flight got delayed for 2 hours There was no announcements about delay When it finally started the food served was below average Just a plain sandwich and brownie People were sitting at the airport  from 1pm without lunch and the service in the plane was poor and patheticStaff seem restless and angry Without smile on their faces and speaking arrogantly with passengersThey were just doing their duty for the sake of dutyNo hospitality or courtesy shown,ambreen7,en,2,Bad
149,Worst Experiene with PIA airline,I travelled from Toronto to Karachi with PIA PK 784 Jan 062019 with 2350CAD fare Far high from other airlines 1 They served Haram Dannon yogurt 2 served used blankets 3 Food quality was worst bread was old 4 No AC during flight 5 Staff was tired and bored to serve 6 in this direct flight juice was finished 7washrooms doesnt have accessories Few washrooms were not working 8 No entertainment 14hrs flight and all TV were off and was not working 9Announement was worst or no announcement at all 10 many lights were not workingWont recommend this airlineThanks RegardsMasroor AhmedToronto Canada,Masroor A,en,1,Very Bad
150,They gave us food poisoning,We arrived in Lahore for a 13 hour layover Against our consent they removed our passports from us and questioned us intently about why we didnt have a transit visa to enter the country After an hour we were escorted to a transit lounge  a room full of metal chairs a water cooler which was bone dry and disgusting toilets at the back Security guards stood at both entrances to ensure we didnt escape We stayed in this room with nowhere to sleep no WiFi and no access to our passports for 13 hours t concerns me most Periodically we were brought food by airlineFinally our time came to be escorted through the airport to our gate We still did not have our passports in our hands they were withheld from us by airline staff We waited at the gate until the final minute finally the airline escorted us to the plane and our seats and handed our passports over  not to us but to the flight attendants We had a short domestic flight to Islamabad and upon attempting to leave the plane with the rest of the passengers we were prevented from doing so It took an hour of the pilot arguing with the ground staff before we were allowed to leave and then we were locked in a bus whilst they disputed our situation until finally driving us to the terminal and escorting us through the airport to the check in gateThis all sounds simple except we were marched back and forth through the airport explaining the predicament repeatedly to staff who appeared to have never managed this situation before Again this flight was booked through PIA so none of this should be news to them Three hours and counting we are forced to pay an airport tax we werent previously told about sent to get our luggage from downstairs and we still do not have our passports Immigration staff argued with us throughout that we should have a visa  we explained repeatedly we have not and will not leave the airportOur final flight departed 2 hours late and news to me stops in Beijing on the way There is no running water on board the toilets dont flush the taps dont run and no one can wash their hands Were delayed in Beijing for 7 hours and the problem is still not fixed Were on the flight I believe for 16 hours in total Cue the worst case of food poisoning I have ever experienced For two days we only ate food the airline provided to us so Im certain it was contracted through PIAs poor hygiene I wont go into the grisly details but I will highlight my point above that there is no running water on this plane I apologise to my fellow passengers for adding to the miseryThankfully after 24 hours i was doing okay and able to move about My boyfriend could not leave the hotel room for 3 days and only after we visited a doctor for an emergency appointment and is prescribed 5 days of antibiotics probiotics and rest is he feeling better Just in time for us to fly home Our return flight isnt much better delays and then a 16 hour layover in Islamabad It gets much worse when after 2 hours of waiting for a staff member our passports were removed from us once more and we were escorted past immigration  against us repeatedly informing that we cannot enter the country we do not have visas all to the response of no come with me I will sort it So we cross the Pakistan border illegally and again no one knows what is going on Were left waiting for 2 hours alone without our passports in the open lounge of arrivals 200 yards from the taxi rank If we had wanted to illegally enter Pakistan which we didnt they sure made it easy for us They keep trying to say we will taken to a hotel again its explained we do not have a visa to be here and its making us nervous Eventually we are escorted back to departures with the aim of getting our boarding passes and some sleep We l are promptly stopped by armed guards We dont have boarding passes or visas therefore we cannot enter We explain that staff brought us past security which they deny The staff blame us stating we entered the country illegally and we should have known better  I suppose we did but not voluntarily and definitely not with any intent We just wanted to be on the next flight homeTwo hours later after the changing of the guard and a tantrum on my part the Big Boss is called and he escorts us through security We are told to wait on two chairs for 8 hours until we can check in We still do not have our passports in our possession and we are not brought anything to eat or drink not that we would have eaten what they brought us Eight hours later and we are finally arguing with immigration again  were forced to pay another airport tax because we didnt have a receipt from the last time  we are reluctantly given boarding passes and allowed through security and escorted to our gate Our passports are finally returnedThe flight home whilst delayed has running water at least however no air conditioning We declined to eat any food they offered and chose to fast instead TLDR The entire experience was a shambles the airline clearly couldnt manage transit passengers and no one knew what was going on We felt like criminals and our passports were removed from us for 1218 hours at a time We got food poisoning from the food and there was no working toiletsrunning water on the flight and we had to access emergency medical attention because of it I wont be flying with PIA again they havent offered an apology or even acknowledgement of what we experienced and I strongly warn others against flying with them,MeggySS,en,1,Very Bad
151,The worst experience of my life,Never travel by this air line mouldy food and terrible seats bad service I told then I am pregnant and they said why did u travel maybe because I had to bury my mother in law Disgusting,Rifat B,en,1,Very Bad
152,The staff was very courteous the flight was direct to Karachi and reached on time Good food choices,The staff was very courteous the flight was direct to Karachi and reached on time Good food choices  the seats were comfy but some gadgets were not working However there was plenty of empty seats in the business class,Shehl,en,4,Good
153,Service change for better,The service has improved a lotThe crew was kind courteous and ever ready to cater to your wishThe food was goodWe got Breakfastsnack and lunch before arrival,Adventure292498,en,4,Good
154,Terrible ,I read all the reviews before flying but still wanted to go with an open mind   I am so terribly disappointed with my flight   the planes are in horrible shape  Seats ripped  Smelly dirty   No inflight entertainment at all   business class is so cramped  I felt like I was sitting on top of the person next to me   my seat barely worked and when it did it was so loud   The poor woman in front of me had a seat that didnt work at all  usually the food is the only redeeming quality  But it was terrible   I have no idea why there are 6 cabin stewards serving 35 business class passengers   They do nothing  ,ZZmomma,en,1,Very Bad
155,Worst flight ever,The only reason we flew with PIA is due to the direct flight to ISB The plane itself was old The flight was delayed No in flight entertainment Food quality very poor Rubbish not properly collected from previous flight Overall extremely poor considering they charge in excess of 1000 for economy flights Waste of money ,1303AaliyahS,en,1,Very Bad
156,Avoid if you can ,The only reason i take this flight is because of a direct flight from mamchester to lahoreInfotainment has not been working now for 8 years Toilets are dirty the tube light was lying on the floor Food was good and people were great,Aatmah M,en,2,Bad
157,Terrible,Paid over 1000 for the ticket boarded 515 pm flight was supposed to leave at 6 pm however delayed till 7 pm Once in flight the food was served at around 8 pm From the moment we boarded to the time we were served food circa 35 hrs not even a glass of water was offered to the passengers in spite of asking Parents were seated in a different section to their young children causing a massive uproar naturally When parents asked for blankets for their kids they were told to share because there wasnt enough to go around On a 7hr flight there was also no entertainment facilities All in all mayhem and the worst flight I have ever experienced,nadiasial,en,2,Bad
158,Flight Times changed then delayed no helpful service,What a farce for an international level carrier  it was a case of hurry up and wait Original flight scheduled for 1500 departure Sat 22nd Dec 2018  On the morning of the flight at 1100 we get a call to advise the flight is rescheduled for 1200 noon departure Fortunately we were only 20min to the airport  but it was rather concerning that it was suddenly so early  and we prayed they would let us check in We arrived and were able to checkin  advise  Dont worry not to rush it was still ok the flight would leave a little later  When asked what the new time was it ranged from Its still saying 12 to just go to the gate  So we get checked and sorted and go to the gate expecting that they would be calling us to board anytime soon   At the gater  there is no one No signs no PIA staff not even an electronic board to show the flight status The only sign was 1 floor up and it had said 12noon departure when we went past   Tried asking airport staff  who reported that the scheduled 1500 departure was still correct and when I tired the PIA customer helpline they said Speak to airport staff So we went back upstairs and found the signs had been updated  flight delayed with a new scheduled time of 1430  So we go find some lunch and waitBack at the gate by 1415wait 1450 they finally announce boardingGet bused to the aircraft and everyone boards Wait  Wait some moreWe finally get pushed back at 1530  So all told we were given the hurry up to be 3 hours early for the flight when in fact it left 30min late And  not even a mention or apology from a single PIA staff or a call back The funny side was a call 30min after we had arrived to let us know the flight had arrived  Thanks  we figured that  given we were on it I wondered whether taking the bus would be less trouble and get me there quicker,themarvel2004,en,2,Bad
159,Good,On time Reasonable service Food was above average Seats were not very much comfortable Staff was cooperative,Zafar M,en,4,Good
160,An average airline,As a world traveller I have travelled almost the whole world with very good and bad airlines So I know what service and expectations I should be expecting from PIA Some people moans just because they think one could get better service if pay less well certainly it does not happen in an aviation world I have flown PIA before but with this particular trip I choose PIA BUSINESS because of its direct flight connection to Islamabad The checkin at the airport was fast and no trouble The lounge was good enough and the priority boarding was ok The plane was clean and seat was comfortable with full recline  I slept 3 hours food was great but the service could be better It was my first business class trip on PIA and I think it was great Well if you compare business class with emirates then GREAT would not be so appropriate but Emirates fare for business was 2 times more than PIA so it was not too bad after all PIA definitely needs to improve their customer service and time management I wont hesitate to fly business again with PIA PS cant wait to fly BA next year the only reason I will prefer BA to PIA is my one world silver membership and benefits rest BA is not that much better than PIA ,umairkhlil,en,4,Good
161,holding you to ransom for the inconvenience,So sad that although this is a direct flight from London to Lahore and you pay through the nose for the convenience there is not a lot to say that is positive about this airlineFirst of the state of the planes is dire even in business class they do not have the facility to charge up your laptopphone  why is it called business class The crew are really not interested  except the odd one in your needs and are not very helpful with anyone not even if you have physical problemsmobility issues  The only reason we fly with them is that it is a direct flight from London to Lahore and one of my parents has mobility problems and taking them on and off flights half way is inconvenient and problematic for them  Having this monopoly should not mean that PIA treats you as badly as they doWe only travel with PIA when we take our parents otherwise we prefer to put up with the inconvenience of lay overs and scarily for that 2 hour inconvenience we pay almost half the price of PIA and at peak times we save even more,firrahs,en,1,Very Bad
162,Underrated airline,Iv been travelling in PIA from a very long time now and overall its very goodPeople being cliche always under rate our airline,Tauseeq18,en,5,Very Good
163,Worst flight ever,This is a review based on my own previous flights with PIA and my brothers recent trip to Pakistan via PIA he had the worst flight there and backThe lack of knowledge and understanding of English made it extremely hard to interact with any working person at the airport and customer service was very badStaff was very rude to my brother I have had the same experience in the pastHe nearly missed his flight because they spent half an hour argue with himI would never recommend this airline to anyoneThey need serious training and customer service relationsAnd improve in flight entertainment as its never working,Nadia M,en,1,Very Bad
164,Great  Airline to fly with,I always fly with PIA when I visit Pakistan Cabin crew are smartalways attentive  promptBest thing is that flight is Non Stop both ways  flight time is less than 8 hours both way compared to more than 12 hours atleast on other aAirlines  compared to all other Airlines that fly to Karachi from UK PIA is best value for money,abids536,en,5,Very Good
165,Unpleasant,The cabin crew are very rude they just rush past you when offering drinkswhich makes it hard for you to even ask for somethingThe screens did not work at all no options for movies or entertainmentI do NOT recommend this airline at all,Ashfaq000,en,1,Very Bad
166,Brilliant airline,Comfortable great service polite and courteous cabin crew Its a long 7 hour 40 min flight the crew look after the passengers Only downside is that some of the passengers were rude ill disciplined ,Abu F,en,5,Very Good
167,Saves you the hours spent travelling,The direct flight was 14 hours long and I was able to sleep peacefully as there werent too many kids on board Lunch Dinner was really good The breakfast not so much Stale BreadI booked this flight because my Saudi Airline flight got cancelled and i was looking for the most reasonably priced ticket This flight did give me value for my money,Alishba A,en,4,Good
168,No entertainment system whatsoever,I would only recommend PIA if you cant be bothered to stop over and change the plane The only advantage is you get a direct flight without any entertainment for 8 hours You either sleep or look around Food I would say it wasnt bad They have really improved their service Leg room was good There is no such things as Economy Plus They do need to upgrade their planes Pillow not provided unless you ask for it The only asvantage is you just get a direct flight Ohh yeah radio wasnt working as well wven though headphones were provided Lol,farhannoman,en,3,Average
169,Once you go business you can never go back ,Staff staff were very friendly and pay full attention to your needs I was constantly checked on while awake to see if there was anything i needed  Checkin there was no issues with checkin My tickets were checked and bags loaded with no fussFood you are served in my opinion a lot of food during the flight It is nice to look at but not too practical There is a big deal about setting your porcelain plates with the little porcelain salt and pepper shakers but during times of turbulence it can be a nuisance The food itself was tasty and clean The staff walk around with a buffet style trolley and you pick what you would like to eatComfort this is the most important factor for me I felt extremely comfortable throughout the journey The seats fully recline into a bed so you can wake up refreshed Seat the seat is large and spacious You dont feel your privacy is invaded even with another person sat next to youEntertainment i have to say the staff were very entertaining themselves but there is a good selection of movies to watch Overall having only ever travelled economy i really saw the difference in class For such a long journey it is absolutely worth every penny to invest in comfort and ease which is what i got with business I will never go back to economy again ,Immy I,en,5,Very Good
170,Best airline my airline,Pia is my homeland airline Best staff best service plane is very shiny i love my airline must travel with Pakistan international airline,marufsubhani,en,5,Very Good
171,now improving standards,checkin was swift with courteous staff flight took off  on time seats were slightly tight need to improve the space although flight was full staff was very fast in serving the passengersbreakfast was deliciuos as usual newspaper available staff humble and helpful,drkbhambha,en,4,Good
172,Horrible experience ,Just came back from lahore Pakistan with three young children going from Heathrow was okay staff were helpful but noting else much going on Coming back to Heathrow was a horrible experience for the whole family No screens were working if you were lucky enough to have a tv screen work they dont supply headphones No blankets or pillows were on board so my children were uncomfortable and cold throughout the whole 8 hours flight back Food was sooo chilli not even I could eat it let alone children no food option is given so either eat it or starve Drinks were brought only with dinner My 8 year old son was sitting next to a old lady who was constantly coughing so kept asking my son to get her water he was told  you have been 3 times already asking for drinks WE DONT WANT TO SEE YOU AGAIN HERE  even though he explained its for someone else they didnt give a damn Staff closed the curtains and sat there throughout the flight gossiping behind if you want something you will need to get up and walk to them I had two young kids 2 and 4 aswell who were so bored and hungry Toilets were blocked so with every flush the water was leaking out onto the outside carpet The whole plane smelt of urine Staff didnt even bother to go Check I rang the bell to ask for some drinks for kids but no one came The call switch is not the PIA staffs concern they just ignore you My son went up again to get us drinks and was told no your not getting nothing Useless rude and very lazy staff Will NEVER travel with PIA again If they cant run the airplane better just to shut it down and defiantly train your staff on manners and adequate How to deal with people and maybe crack a smile,sabina23,en,1,Very Bad
173,PIA Customer Services,I called a PIA contact center to get an information regarding to carry a golf kit but it is regret to have a such situations call hanged up several of times put on hold with out permission and misguided tooIt seems that PIA contact center of Islamabad agents have not gone through training to assist the query not this only they have  only learned how to get hanged up the call on that condition anywayPerhaps their supervisor namely MrKashif who is not available the full week whenever i calledTo ensure that the provided info was correct i requested to have a email which i can rely so they told me that due to limited excess we are helpless in this regards that was really a big shame to PIAThis is supposed to be my last trip with budget Airline either i would not suggest any one to be a part of PIA at any costI would like to mention their names which i got worst experience1Raza2Muzammil3Hafiz4Kazim5Zahidand many more,77106,en,1,Very Bad
174,Pass It AwayPIA,Prior on line checkin not availableim not aware of it Carry on bag was weighed along with checkin 2 pieces which go free  Lounge was okay  Priority boarding for business class passengers wasnt adequateAs i entered my seat was allready occupied by a lady whatever the reason baby mental or physical limitationit reflected on cabin crews professionalism Food service cleanliness landing everything was good   but letting someone occupy your seat left a veryyyy bad impression  authorities should look into it,Shehla2017,en,1,Very Bad
